index,n,metric,estimate
2015-10-07,7,mean_squared_error,4.599739554414291
2015-10-14,7,mean_absolute_error,2.332849999999997
2015-10-14,7,mean_squared_error,6.157295918957126
2015-10-21,7,mean_absolute_error,3.176638571428571
2015-10-21,7,mean_squared_error,11.631652041242855
2015-10-28,7,mean_absolute_error,2.381174285714286
2015-10-28,7,mean_squared_error,7.610211535971424
2015-11-04,7,mean_absolute_error,1.7475457142857118
2015-11-04,7,mean_squared_error,4.19643095977142
2015-11-11,7,mean_absolute_error,1.9663614285714301
2015-11-11,7,mean_squared_error,6.6615692785571445
2015-11-18,7,mean_absolute_error,2.8667214285714295
2015-11-18,7,mean_squared_error,10.56179959198572
2015-11-25,7,mean_absolute_error,5.133684285714288
2015-11-25,7,mean_squared_error,59.89590032304294
2015-12-02,7,mean_absolute_error,2.81997
2015-12-02,7,mean_squared_error,9.395581984071429
2015-12-09,7,mean_absolute_error,5.095824285714282
2015-12-09,7,mean_squared_error,56.4125778768714
2015-12-16,7,mean_absolute_error,1.8500728571428595
2015-12-16,7,mean_squared_error,4.77927390584287
2015-12-23,7,mean_absolute_error,5.8961642857142875
2015-12-23,7,mean_squared_error,58.19029264352856
2015-12-30,7,mean_absolute_error,4.555657142857139
2015-12-30,7,mean_squared_error,32.21735805059997
2016-01-06,7,mean_absolute_error,5.620905714285714
2016-01-06,7,mean_squared_error,56.81033627800001
2016-01-13,7,mean_absolute_error,4.904344285714286
2016-01-13,7,mean_squared_error,41.23856971335716
2016-01-20,7,mean_absolute_error,2.1338285714285705
2016-01-20,7,mean_squared_error,6.191429418142856
2016-01-27,7,mean_absolute_error,1.976970000000001
2016-01-27,7,mean_squared_error,5.29548891718572
2016-02-03,7,mean_absolute_error,1.5421785714285718
2016-02-03,7,mean_squared_error,3.5378545650428648
2016-02-10,7,mean_absolute_error,2.7878142857142842
2016-02-10,7,mean_squared_error,11.56111007591428
2016-02-17,7,mean_absolute_error,2.0953228571428566
2016-02-17,7,mean_squared_error,5.605991808771428
2016-02-24,7,mean_absolute_error,2.08996857142857
2016-02-24,7,mean_squared_error,6.045551900942845
2016-03-02,7,mean_absolute_error,2.1178699999999973
2016-03-02,7,mean_squared_error,6.002620494557137
2016-03-09,7,mean_absolute_error,2.692991428571426
2016-03-09,7,mean_squared_error,10.457709037885701
2016-03-16,7,mean_absolute_error,1.3325514285714242
2016-03-16,7,mean_squared_error,3.1728521164285537
2016-03-23,7,mean_absolute_error,1.043977142857146
2016-03-23,7,mean_squared_error,1.690856884942863
2016-03-30,7,mean_absolute_error,2.2481142857142826
2016-03-30,7,mean_squared_error,5.989095774285695
2016-04-06,7,mean_absolute_error,2.427619999999999
2016-04-06,7,mean_squared_error,8.302646287171422
2016-04-13,7,mean_absolute_error,1.0338314285714223
2016-04-13,7,mean_squared_error,1.437516950599985
2016-04-20,7,mean_absolute_error,0.8414942857142852
2016-04-20,7,mean_squared_error,0.9901333117142838
2016-04-27,7,mean_absolute_error,1.3724285714285682
2016-04-27,7,mean_squared_error,2.1014481423142755
2016-05-04,7,mean_absolute_error,1.6497142857142815
2016-05-04,7,mean_squared_error,4.790631805942839
2016-05-11,7,mean_absolute_error,1.2090757142857116
2016-05-11,7,mean_squared_error,1.755831741357136
2016-05-18,7,mean_absolute_error,1.091550714285713
2016-05-18,7,mean_squared_error,1.771978637403572
2016-05-25,7,mean_absolute_error,2.765885000000003
2016-05-25,7,mean_squared_error,27.46795011950363
2016-06-01,7,mean_absolute_error,1.7809135714285682
2016-06-01,7,mean_squared_error,3.9314050136749854
2016-06-08,7,mean_absolute_error,4.619302857142855
2016-06-08,7,mean_squared_error,46.92636515634283
2016-06-15,7,mean_absolute_error,1.934082857142854
2016-06-15,7,mean_squared_error,4.6236682882857005
2016-06-22,7,mean_absolute_error,1.330039999999998
2016-06-22,7,mean_squared_error,2.1898001740857094
2016-06-29,7,mean_absolute_error,2.8887057142857135
2016-06-29,7,mean_squared_error,31.022670282371443
2016-07-06,7,mean_absolute_error,1.1535242857142838
2016-07-06,7,mean_squared_error,1.4741198385857095
2016-07-13,7,mean_absolute_error,3.57921142857143
2016-07-13,7,mean_squared_error,36.85342460588573
2016-07-20,7,mean_absolute_error,1.3996214285714277
2016-07-20,7,mean_squared_error,2.4317776717571418
2016-07-27,7,mean_absolute_error,2.0272628571428526
2016-07-27,7,mean_squared_error,5.281720318199975
2016-08-03,7,mean_absolute_error,1.4500021428571386
2016-08-03,7,mean_squared_error,2.387255967703559
2016-08-10,7,mean_absolute_error,0.978628571428568
2016-08-10,7,mean_squared_error,1.3251736748285607
2016-08-17,7,mean_absolute_error,0.9040085714285679
2016-08-17,7,mean_squared_error,1.1398531782857073
2016-08-24,5,mean_absolute_error,0.9165349999999931
2016-08-24,5,mean_squared_error,1.0482590989449871
